"Date","Flux","Ts","Ta","Moist_raw","Season","G_1h","G_6h","G_1d","G_15d"
2018-05-09 17:10:00,0.75,2.0625,19.75,3665,"W",0,0,0,0
2018-05-09 17:20:00,0.7,2.0625,19.0625,3665,"W",0,0,0,0
2018-05-09 17:30:00,0.63,2.125,18.375,3665,"W",0,0,0,0
2018-05-09 17:40:00,0.7,2.125,18.25,3665,"W",0,0,0,0
2018-05-09 17:50:00,0.73,2.125,17.75,3665,"W",0,0,0,0
2018-05-09 18:00:00,0.8,2.125,17,3665,"W",0,0,0,0
2018-05-09 18:10:00,0.8,2.125,16.5,3665,"W",0,0,0,0
2018-05-09 18:20:00,0.79,2.125,16.5,3664,"W",0,0,0,0
2018-05-09 18:30:00,0.68,2.125,16.125,3664,"W",0,0,0,0
2018-05-09 18:40:00,0.62,2.125,15.25,3664,"W",0,0,0,0
2018-05-09 18:50:00,0.75,2.125,14.75,3664,"W",0,0,0,0
2018-05-09 19:00:00,0.55,2.125,13.875,3664,"W",0,0,0,0
2018-05-09 19:10:00,0.76,2.125,13.375,3664,"W",0,0,0,0
2018-05-09 19:20:00,0.77,2.125,12.75,3664,"W",0,0,0,0
2018-05-09 19:30:00,0.71,2.125,12.3125,3664,"W",0,0,0,0
2018-05-09 19:40:00,0.69,2.1875,11.875,3664,"W",0,0,0,0
2018-05-09 19:50:00,0.66,2.1875,11.4375,3664,"W",0,0,0,0
2018-05-09 20:00:00,0.65,2.1875,11.125,3664,"W",0,0,0,0
2018-05-09 20:10:00,0.6,2.1875,10.6875,3664,"W",0,0,0,0
2018-05-09 20:20:00,0.52,2.25,10.125,3664,"W",0,0,0,0
2018-05-09 20:30:00,0.47,2.25,9.625,3664,"W",0,0,0,0
2018-05-09 20:40:00,0.52,2.25,9.25,3664,"W",0,0,0,0
2018-05-09 20:50:00,0.49,2.25,8.8125,3664,"W",0,0,0,0
2018-05-09 21:00:00,0.67,2.25,8.4375,3664,"W",0,0,0,0
2018-05-09 21:10:00,0.6,2.25,8.125,3664,"W",0,0,0,0
2018-05-09 21:20:00,0.55,2.25,7.75,3664,"W",0,0,0,0
2018-05-09 21:30:00,0.47,2.25,7.5,3664,"W",0,0,0,0
2018-05-09 21:40:00,0.6,2.25,7.25,3664,"W",0,0,0,0
2018-05-09 21:50:00,0.52,2.25,7,3664,"W",0,0,0,0
2018-05-09 22:00:00,0.57,2.25,6.75,3664,"W",0,0,0,0
2018-05-09 22:10:00,0.49,2.3125,6.5,3664,"S",0,0,0,0
2018-05-09 22:20:00,0.45,2.3125,6.25,3664,"S",0,0,0,0
