"Date","Flux","Ts","Ta","Moist"
2018-08-11 04:00:00,2.24,13,6.4375,46.1466599
2018-08-11 04:10:00,2.09,13,6.375,46.1466599
2018-08-11 04:20:00,2.06,13,6.25,46.1466599
2018-08-11 04:30:00,2.14,13,6.0625,46.1466599
2018-08-11 04:40:00,2.01,13,6,46.1466599
2018-08-11 04:50:00,2.08,13,6,46.1466599
2018-08-11 05:00:00,1.76,13,5.875,46.1466599
2018-08-11 05:10:00,1.96,13,6,46.1466599
2018-08-11 05:20:00,2.14,13,6,46.1466599
2018-08-11 05:30:00,2.44,12.9375,6.125,46.1466599
2018-08-11 05:40:00,2.36,12.9375,6.3125,46.1466599
2018-08-11 05:50:00,2.61,12.9375,6.4375,46.1466599
2018-08-11 06:00:00,2.64,12.9375,6.5625,46.1466599
2018-08-11 06:10:00,2.34,12.875,6.75,46.1466599
2018-08-11 06:20:00,2.35,12.875,6.875,46.1466599
2018-08-11 06:30:00,2.29,12.875,7.125,46.1466599
2018-08-11 06:40:00,2.55,12.875,7.375,46.1466599
2018-08-11 06:50:00,2.44,12.875,7.625,46.1466599
2018-08-11 07:00:00,2.81,12.875,7.9375,46.1466599
2018-08-11 07:10:00,2.99,12.875,8.25,46.1466599
2018-08-11 07:20:00,2.79,12.875,8.625,46.1466599
2018-08-11 07:30:00,3.28,12.875,8.875,46.1466599
2018-08-11 07:40:00,3.3,12.8125,9.125,46.1466599
2018-08-11 07:50:00,3.6,12.8125,9.5,46.13283
2018-08-11 08:00:00,3.08,12.8125,9.8125,46.13283
2018-08-11 08:10:00,3.08,12.8125,10.25,46.13283
2018-08-11 08:20:00,1.43,12.75,11.25,46.13283
2018-08-11 08:30:00,1.81,12.75,12.375,46.13283
2018-08-11 08:40:00,1.83,12.75,13.25,46.13283
2018-08-11 08:50:00,2.13,12.75,13.6875,46.13283
2018-08-11 09:00:00,2.47,12.75,13.875,46.13283
2018-08-11 09:10:00,2.68,12.75,14.125,46.13283
2018-08-11 09:20:00,2.64,12.75,14.1875,46.13283
2018-08-11 09:30:00,2.81,12.75,14.25,46.13283
2018-08-11 09:40:00,3,12.75,14.5,46.13283
2018-08-11 09:50:00,2.77,12.75,14.625,46.13283
2018-08-11 10:00:00,2.51,12.6875,14.875,46.13283
2018-08-11 10:10:00,2.97,12.6875,15.625,46.13283
2018-08-11 10:20:00,2.91,12.6875,16.125,46.13283
2018-08-11 10:30:00,2.85,12.625,16.25,46.13283
2018-08-11 10:40:00,2.52,12.625,16.0625,46.13283
2018-08-11 10:50:00,2.88,12.625,15.9375,46.13283
2018-08-11 11:00:00,2.92,12.625,16,46.13283
2018-08-11 11:10:00,3.01,12.625,16.5,46.13283
2018-08-11 11:20:00,2.92,12.625,16.5,46.13283
2018-08-11 11:30:00,2.76,12.625,16.125,46.13283
2018-08-11 11:40:00,2.72,12.625,16.5,46.13283
2018-08-11 11:50:00,2.6,12.625,17,46.13283
2018-08-11 12:00:00,2.85,12.625,17.625,46.13283
2018-08-11 12:10:00,2.83,12.625,18.1875,46.13283
2018-08-11 12:20:00,2.8,12.625,18.625,46.13283
2018-08-11 12:30:00,2.69,12.625,19.5,46.13283
2018-08-11 12:40:00,2.64,12.625,19.0625,46.13283
2018-08-11 12:50:00,2.69,12.5625,18.9375,46.13283
2018-08-11 13:00:00,2.86,12.5625,18.8125,46.13283
2018-08-11 13:10:00,2.55,12.5625,18.5,46.13283
2018-08-11 13:20:00,2.41,12.5625,18.75,46.13283
2018-08-11 13:30:00,2.62,12.5625,19.3125,46.13283
2018-08-11 13:40:00,2.96,12.5625,19.125,46.13283
2018-08-11 13:50:00,2.6,12.5625,18.9375,46.13283
2018-08-11 14:00:00,2.56,12.5625,18.75,45.7591959
2018-08-11 14:10:00,2.95,12.5625,18.5625,45.717654
2018-08-11 14:20:00,2.91,12.5625,18.3125,45.7038055
2018-08-11 14:30:00,3,12.5625,18.0625,45.6899564
2018-08-11 14:40:00,2.46,12.5625,17.8125,45.6761067
2018-08-11 14:50:00,2.65,12.5625,17.5,45.6622564
2018-08-11 15:00:00,2.6,12.5625,17.3125,45.6484055
2018-08-11 15:10:00,3.09,12.5625,16.9375,45.6207019
2018-08-11 15:20:00,2.81,12.5625,16.75,45.6068492
2018-08-11 15:30:00,3.12,12.5,16.75,45.634554
2018-08-11 15:40:00,2.7,12.5625,16.8125,45.6068492
2018-08-11 15:50:00,2.71,12.5625,16.875,45.6068492
2018-08-11 16:00:00,2.93,12.5625,17.25,45.579142
2018-08-11 16:10:00,2.9,12.5625,17.375,45.4544299
2018-08-11 16:20:00,2.47,12.5625,17.75,45.3851244
2018-08-11 16:30:00,2.75,12.5625,18.125,45.3712615
2018-08-11 16:40:00,2.79,12.5625,18.4375,45.3712615
2018-08-11 16:50:00,2.85,12.5625,17.875,45.357398
2018-08-11 17:00:00,2.85,12.5625,17.0625,45.357398
2018-08-11 17:10:00,2.97,12.5625,16.5,45.3435339
2018-08-11 17:20:00,2.89,12.5625,16.25,45.3435339
2018-08-11 17:30:00,2.61,12.5625,16,45.3435339
2018-08-11 17:40:00,2.95,12.625,15.875,45.3296692
2018-08-11 17:50:00,2.88,12.625,15.8125,45.3296692
2018-08-11 18:00:00,2.7,12.625,15.625,45.3158039
2018-08-11 18:10:00,2.79,12.625,15.4375,45.3158039
2018-08-11 18:20:00,2.74,12.625,15.125,45.3158039
2018-08-11 18:30:00,2.36,12.625,14.875,45.2880715
2018-08-11 18:40:00,2.36,12.625,14.8125,45.2742044
2018-08-11 18:50:00,2.82,12.625,14.75,45.21873
2018-08-11 19:00:00,2.82,12.625,14.625,45.2048599
2018-08-11 19:10:00,3.04,12.625,14.4375,45.2048599
2018-08-11 19:20:00,2.79,12.625,14.25,45.2048599
2018-08-11 19:30:00,2.58,12.625,14,45.1909892
2018-08-11 19:40:00,2.8,12.625,13.75,45.1909892
2018-08-11 19:50:00,2.47,12.625,13.5,45.1909892
2018-08-11 20:00:00,2.65,12.625,13.125,45.1909892
2018-08-11 20:10:00,2.67,12.625,12.875,45.1771179
2018-08-11 20:20:00,3.02,12.625,12.625,45.1771179
2018-08-11 20:30:00,2.62,12.625,12.375,45.1771179
2018-08-11 20:40:00,2.64,12.625,12.125,45.1771179
2018-08-11 20:50:00,2.59,12.625,11.9375,45.1771179
2018-08-11 21:00:00,2.7,12.625,11.75,45.1771179
2018-08-11 21:10:00,2.41,12.625,11.625,45.163246
2018-08-11 21:20:00,2.56,12.625,11.5,45.163246
2018-08-11 21:30:00,2.17,12.6875,11.5,45.163246
2018-08-11 21:40:00,2.48,12.6875,11.4375,45.163246
